Timestamp,Weed,Healthy Tomato,Diseased Tomato
2026-02-07 11:01:16,1,1,1
2026-02-07 11:01:33,1,0,0
2026-02-07 11:38:14,0,1,0
2026-02-07 12:08:50,1,1,1
2026-02-07 12:09:10,0,1,1
2026-02-07 12:12:13,1,1,1
2026-02-07 12:12:34,1,1,0
2026-02-07 12:12:53,1,1,0
2026-02-07 12:13:13,0,1,1
2026-02-07 12:16:10,1,1,1
2026-02-07 12:16:30,1,1,0
2026-02-07 12:16:51,0,1,0
2026-02-07 12:17:11,0,1,0
2026-02-07 18:32:42,0,1,0
2026-02-07 18:34:05,1,1,1
2026-02-07 18:34:21,1,1,1
2026-02-07 18:34:43,0,1,0
2026-02-07 21:19:11,1,1,1
2026-02-07 21:19:28,1,1,1
2026-02-07 21:20:38,1,1,1
2026-02-07 21:26:18,0,0,0
2026-02-07 21:26:29,1,0,0
2026-02-07 21:26:42,1,0,0
2026-02-07 21:26:58,1,0,0
2026-02-07 21:27:12,0,0,0
2026-02-07 21:27:29,1,0,0
2026-02-07 21:33:39,0,1,0
2026-02-07 21:34:00,0,1,0
2026-02-07 21:34:20,1,1,0
2026-02-07 21:37:31,0,0,1
2026-02-07 21:40:25,1,1,1
2026-02-07 22:25:24,1,0,0
2026-02-07 22:25:39,0,0,0
2026-02-07 22:25:59,0,0,0
2026-02-07 22:26:14,1,0,1
2026-02-07 22:26:31,0,0,0
2026-02-07 22:27:44,0,0,0
2026-02-07 22:35:56,1,0,0
2026-02-07 22:36:18,0,1,0
2026-02-07 22:36:51,1,0,1
2026-02-07 22:37:05,0,1,1
2026-02-07 22:37:19,1,1,1
2026-02-07 22:37:33,1,0,0
2026-02-07 22:38:34,0,1,0
2026-02-07 22:39:35,1,0,1
2026-02-07 22:43:45,1,0,1
2026-02-07 22:45:01,1,0,1
2026-02-07 22:48:54,1,1,1
2026-02-07 22:51:22,1,1,1
2026-02-07 22:55:06,0,0,0
2026-02-07 22:55:50,1,0,0
